Kod,Waga,Waga_Pz,Wilg,Piach,Olej
T19121761,924,1059,"5,5","6,24","2,26"
T19121831,372,"345,5","6,3","5,81","1,53"
T19121841,"1042,9","990,5","5,1","6,24","1,86"
T19121851,808,879,"6,8","6,24","2,37"
T19121931,713,687,"5,8","6,25","2,77"
T19121941,"975,2",924,"7,6","6,25","1,77"
T19121961,818,"784,5","5,9","6,16","2,24"
T19122031,"1077,9","866,2","5,9","5,81","2,51"
T19122041,943,"896,5","4,4","5,81","2,16"
T19122051,967,"927,3","6,4","6,25","2,42"
T19122141,"1135,8","1097,3","5,1","6,25","2,28"
T19122151,831,"936,3","6,7","6,55","2,57"
T19122161,710,"665,9","6,7","6,55","2,22"
T19122331,"804,4","771,6","6,2","6,55","1,75"
T19122341,1022,"987,8","4,4","6,55","1,75"
T19122351,706,673,"6,4","6,55","2,49"
T19122361,424,"401,3","6,2","6,55","2,17"
T19122751,884,"849,9","7,2","4,56","2,62"
T19122831,871,"837,3","6,5","4,56","2,56"
T19123031,437,"408,8","8,5","4,56","2,42"
T19123041,"1180,6","991,6","5,3","7,65","2,35"
T19123051,809,"778,8","6,0","7,65","2,76"
T19123131,"1793,2","1793,2","5,4","6,01","2,53"
T19123151,"1151,8","1000,7","6,8","7,65","2,62"
T20010441,"1246,8","1198,6","4,5","7,09","2,13"
T20010451,713,669,"7,4","6,01","1,86"
T20010751,578,553,"7,3","6,01","2,47"
T20010831,1654,1590,"5,8","6,05","2,43"
T20010851,918,"886,5","7,3","7,09","2,61"
T20010861,1011,"975,3","6,4","7,09","2,33"
T20010931,"722,8","695,1","6,4","5,44","2,18"
T20010941,684,"652,4","5,6","7,09","1,83"
T20010961,701,669,"5,8","6,05","1,78"
T20011031,"1122,4","1103,6","5,8","5,44","1,99"
T20011051,678,650,"7,8","5,44","2,77"
T20011061,982,944,"6,1","6,05","2,27"
T20011061,671,636,"7,5","6,05","2,86"
T20011131,"910,4","879,7","5,3","4,83","2,13"
T20011141,"853,6","822,8","5,9","5,44","2,21"
T20011151,637,614,"6,4","4,83","2,39"
T20011161,841,"807,5","5,4","4,83","2,60"
T20011341,"1692,2","1625,7","6,0","4,83","2,63"
T20011351,1004,"974,6","6,5","5,44","2,16"
T20011361,618,587,"6,8","6,16","2,71"
T20011431,"1264,2","1224,7","5,9","6,16","2,74"
T20011441,"1098,4","1053,3","5,3","6,16","2,30"
T20011451,1119,"1086,8","5,9","6,16","1,89"
T20011461,469,469,"7,0","5,20","2,49"
T20011531,"609,6","584,5","6,1","6,96","2,39"
T20011551,915,"884,3","6,2","6,96","2,38"
T20011561,945,"907,2","6,5","6,96","2,79"
T20011631,875,840,"5,9","6,96","2,10"
T20011631,"1010,6","973,8","5,9","6,47","2,66"
T20011651,833,802,"7,0","6,47","2,74"
T20011661,686,"649,8","6,8","6,96","2,40"
T20011731,"1007,6","966,6","6,3","5,46","2,35"
T20011751,1031,1000,"6,4","4,80","2,27"
T20011761,889,851,"5,6","6,47","1,87"
T20011831,"791,2","753,5","6,4","4,80","2,45"
T20011851,495,475,"6,6","5,46","2,90"
T20011861,916,"880,3","5,2","4,80","2,64"
T20012031,"1267,4","1191,2","5,3","5,69","2,02"
T20012051,851,"825,3","7,0","5,46","2,12"
T20012061,989,953,"6,4","5,21","2,15"
T20012131,"960,8","920,4","7,0","5,21","2,52"
T20012141,"957,2","917,8","5,6","5,58","2,11"
T20012151,648,"626,2","6,8","5,21","2,34"
T20012161,1290,"1237,6","6,0","5,69","2,89"
T20012231,"867,8","838,7","6,9","5,58","2,13"
T20012241,1198,"1159,2","5,3","7,89","2,62"
T20012251,550,"529,2","7,0","5,58","2,86"
T20012261,634,"591,9","6,6","5,69","1,98"
T20012331,"746,6","709,9","5,6","7,89","2,97"
T20012331,"890,8","871,6","6,4","6,06","2,19"
T20012351,1123,1076,"5,5","7,89","1,80"
T20012361,773,773,"5,4","4,40","1,43"
T20012431,1053,1017,"5,3","6,06","2,19"
T20012441,"1336,2","1292,1","5,4","6,42","1,95"
T20012451,857,"829,3","6,7","4,40","2,51"
T20012461,779,743,"6,5","6,06","2,08"
T20012531,"1639,2","1585,7","4,4","4,80","2,53"
T20012551,1206,1161,"6,5","5,20","2,20"
T20012561,686,654,"6,7","4,80","1,98"
T20012561,715,"676,5","6,4","4,75","1,53"
T20012731,"1000,6","961,8","5,3","5,56","2,08"
T20012741,"625,4","594,3","5,7","6,42","2,33"
T20012751,840,"813,8","6,6","5,20","2,11"
T20012761,622,"588,2","6,8","6,42","2,82"
T20012831,"1362,8","1287,1","6,1","9,60","1,75"
T20012841,"908,4","866,3","6,2","6,14","2,01"
