Kod,Waga,Waga_Pz,Wilg,Piach,Olej
T22042241,320,312,,"5,27",
T22042241,320,312,,"5,27",
T22042251,506,493,"6,9","5,60","2,32"
T22042251,506,493,"6,9","5,60","2,32"
T22042261,785,"765,4","6,9","4,91","2,57"
T22042261,785,"765,4","6,9","4,91","2,57"
T22042331,"999,4",978,"6,1","5,74","1,90"
T22042331,"999,4",978,"6,1","5,74","1,90"
T22042341,"692,2","674,5","5,6","4,91","2,20"
T22042341,"692,2","674,5","5,6","4,91","2,20"
T22042351,1487,1487,"6,7","5,74","2,23"
T22042351,1487,1487,"6,7","5,74","2,23"
T22042531,723,704,"6,0","5,60","1,80"
T22042531,723,704,"6,0","5,60","1,80"
T22042541,"713,8","693,5","7,4","5,60","2,13"
T22042541,"713,8","693,5","7,4","5,60","2,13"
T22042551,1342,1317,"6,4","5,74","2,35"
T22042551,1342,1317,"6,4","5,74","2,35"
T22042561,671,650,"7,4","5,60","2,43"
T22042561,671,650,"7,4","5,60","2,43"
T22042631,746,"726,7","6,0","6,88","1,60"
T22042631,746,"726,7","6,0","6,88","1,60"
T22042641,"752,8",729,"5,9","6,88","2,37"
T22042641,"752,8",729,"5,9","6,88","2,37"
T22042651,1107,1079,"6,7","6,88","2,45"
T22042651,1107,1079,"6,7","6,88","2,45"
T22042661,638,623,"6,6","5,27","2,34"
T22042661,638,623,"6,6","5,27","2,34"
T22042731,"929,6",908,"6,4","5,59","1,99"
T22042731,"929,6",908,"6,4","5,59","1,99"
T22042741,"868,6",849,"6,0","5,27","2,35"
T22042741,"868,6",849,"6,0","5,27","2,35"
T22042751,878,860,"6,5","5,27","2,74"
T22042751,878,860,"6,5","5,27","2,74"
T22042841,"794,4",777,"6,0","8,34","2,32"
T22042841,"794,4",777,"6,0","8,34","2,32"
T22042851,562,551,"6,6","5,59","2,76"
T22042851,562,551,"6,6","5,59","2,76"
T22042861,1332,1307,"6,0","5,59","2,72"
T22042861,1332,1307,"6,0","5,59","2,72"
T22042941,"676,2",660,"6,2","8,34","2,05"
T22042941,"676,2",660,"6,2","8,34","2,05"
T22042951,891,"874,1","5,9","6,67","2,38"
T22042951,891,"874,1","5,9","6,67","2,38"
T22042961,1022,"995,1","5,9","6,67","2,24"
T22042961,1022,"995,1","5,9","6,67","2,24"
T22043031,"897,8","881,8","7,3","6,67","1,93"
T22043031,"897,8","881,8","7,3","6,67","1,93"
T22043041,815,"792,8","7,2","6,48","2,57"
T22043041,815,"792,8","7,2","6,48","2,57"
T22043051,1046,"1026,5","4,8","8,34","1,74"
T22043051,1046,"1026,5","4,8","8,34","1,74"
T22043061,765,"740,5","6,5","6,48","2,41"
T22043061,765,"740,5","6,5","6,48","2,41"
T22050231,"826,4",803,"5,4","6,48","1,75"
T22050231,"826,4",803,"5,4","6,48","1,75"
T22050241,"1218,4","1192,5","5,4","6,48","2,19"
T22050241,"1218,4","1192,5","5,4","6,48","2,19"
T22050261,629,"614,4","5,2","6,48","2,22"
T22050261,629,"614,4","5,2","6,48","2,22"
T22050431,"782,8",766,"7,0","5,70","2,23"
T22050431,"782,8",766,"7,0","5,70","2,23"
T22050451,830,818,"6,0","5,70","2,11"
T22050451,830,818,"6,0","5,70","2,11"
T22050461,879,862,"6,5","5,70","2,62"
T22050461,879,862,"6,5","5,70","2,62"
T22050531,"477,2",466,"6,5","7,00","1,50"
T22050531,"477,2",466,"6,5","7,00","1,50"
T22050541,"644,6",631,"5,5","7,00","1,74"
T22050541,"644,6",631,"5,5","7,00","1,74"
T22050551,504,497,"6,3","7,00","2,61"
T22050551,504,497,"6,3","7,00","2,61"
T22050631,"512,4","500,5","7,4","7,08","2,02"
T22050631,"512,4","500,5","7,4","7,08","2,02"
T22050641,"972,2",953,"5,5","7,08","1,92"
T22050641,"972,2",953,"5,5","7,08","1,92"
T22050651,795,783,"6,4","7,00","2,31"
T22050651,795,783,"6,4","7,00","2,31"
T22050731,"1033,4",1015,"7,0","6,27","1,74"
T22050731,"1033,4",1015,"7,0","6,27","1,74"
T22050741,"906,2","887,7","7,1","7,08","2,63"
T22050741,"906,2","887,7","7,1","7,08","2,63"
T22050751,562,551,"7,0","7,08","2,50"
T22050751,562,551,"7,0","7,08","2,50"
T22050761,1108,1090,"6,0","6,27","2,54"
T22050761,1108,1090,"6,0","6,27","2,54"
T22050931,"676,8","669,5","5,7","6,14","1,82"
T22050931,"676,8","669,5","5,7","6,14","1,82"
T22050941,"614,2",600,"8,3","7,08","1,33"
T22050941,"614,2",600,"8,3","7,08","1,33"
T22050951,1050,1034,"6,3","6,27","2,10"
T22050951,1050,1034,"6,3","6,27","2,10"
T22050961,861,"846,4","7,1","6,27","2,83"
T22050961,861,"846,4","7,1","6,27","2,83"
T22051061,1556,1537,"5,2","6,14","2,29"
T22051061,1556,1537,"5,2","6,14","2,29"
T22051151,351,347,,"6,14",
T22051151,351,347,,"6,14",
T22051161,1184,1162,"6,4","4,55","2,90"
T22051161,1184,1162,"6,4","4,55","2,90"
T22051241,"743,6",729,"5,8","6,14","2,48"
T22051241,"743,6",729,"5,8","6,14","2,48"
T22051331,569,560,"7,5","6,14","2,59"
T22051331,569,560,"7,5","6,14","2,59"
T22051341,"684,2",673,"5,7","4,55","1,94"
T22051341,"684,2",673,"5,7","4,55","1,94"
T22051431,"823,4","804,5","8,4","5,94","2,61"
T22051431,"823,4","804,5","8,4","5,94","2,61"
T22051441,1025,1004,"6,9","4,55","2,16"
T22051441,1025,1004,"6,9","4,55","2,16"
T22051631,"987,6",971,"7,1","5,94","2,23"
T22051631,"987,6",971,"7,1","5,94","2,23"
T22051641,1115,1097,"6,9","5,84","1,89"
T22051641,1115,1097,"6,9","5,84","1,89"
T22051731,"611,2","599,4","8,1","5,94","2,24"
T22051731,"611,2","599,4","8,1","5,94","2,24"
T22051831,"450,6",383,,"5,87",
T22051831,"450,6",383,,"5,87",
T22051841,755,742,"7,1","5,84","2,14"
T22051841,755,742,"7,1","5,84","2,14"
T22051931,"316,8","308,5",,"5,73",
T22051931,"316,8","308,5",,"5,73",
T22051941,"913,6",897,"6,2","5,73","2,53"
T22051941,"913,6",897,"6,2","5,73","2,53"
T22052031,"918,4","902,4","5,6","5,73","2,66"
T22052031,"918,4","902,4","5,6","5,73","2,66"
T22052041,"452,2",441,"5,9","5,73","1,98"
T22052041,"452,2",441,"5,9","5,73","1,98"
T22052131,681,665,"10,3","6,50","1,90"
T22052131,681,665,"10,3","6,50","1,90"
T22052141,"532,4","519,5","7,2","5,84","1,70"
T22052141,"532,4","519,5","7,2","5,84","1,70"
T22052331,"879,6","863,1","7,9","5,87","2,57"
T22052331,"879,6","863,1","7,9","5,87","2,57"
T22052431,"988,8","972,5","6,4","5,87","1,84"
T22052431,"988,8","972,5","6,4","5,87","1,84"
T22052441,"803,2","661,8","6,7","6,50","2,22"
T22052441,"803,2","661,8","6,7","6,50","2,22"
T22052531,"889,2","871,2","6,9","6,50","2,53"
T22052531,"889,2","871,2","6,9","6,50","2,53"
T22052541,"913,8","897,8","7,1","6,44","2,44"
T22052541,"913,8","897,8","7,1","6,44","2,44"
T22052631,"819,6",800,"6,8","6,44","2,00"
T22052631,"819,6",800,"6,8","6,44","2,00"
T22052731,"485,6",469,"7,2","5,87","2,17"
T22052731,"485,6",469,"7,2","5,87","2,17"
T22052741,818,800,"6,1","6,44","2,46"
T22052741,818,800,"6,1","6,44","2,46"
T22060131,1428,1402,"8,7","5,62","2,21"
T22060131,1428,1402,"8,7","5,62","2,21"
T22060851,747,"736,1","6,1","5,62","1,14"
T22060851,747,"736,1","6,1","5,62","1,14"
T22060951,1174,1158,"6,5","6,53","2,26"
T22060951,1174,1158,"6,5","6,53","2,26"
T22061051,913,891,"7,1","6,53","1,16"
T22061051,913,891,"7,1","6,53","1,16"
T22061151,513,504,"6,0","5,62","2,44"
T22061151,513,504,"6,0","5,62","2,44"
T22061451,378,378,,"6,53",
T22061451,378,378,,"6,53",
T22062131,755,"727,5","6,3",,"2,06"
T22062131,755,"727,5","6,3",,"2,06"
T22062231,477,465,"6,6",,"1,60"
T22062231,477,465,"6,6",,"1,60"
T22062441,423,416,"7,3",,"1,95"
T22062441,423,416,"7,3",,"1,95"
T22062841,856,840,"6,3",,"2,18"
T22062841,856,840,"6,3",,"2,18"
T22063041,257,251,,,
T22063041,257,251,,,
T22070131,606,594,"7,1",,"2,07"
T22070131,606,594,"7,1",,"2,07"
T22070141,966,948,"6,1",,"1,93"
T22070141,966,948,"6,1",,"1,93"
T22070231,734,720,"6,8",,"2,24"
T22070231,734,720,"6,8",,"2,24"
T22070241,165,161,,,
T22070241,165,161,,,
T22071351,1303,"1283,6","7,7",,"2,30"
T22071351,1303,"1283,6","7,7",,"2,30"
T22071461,"634,5","634,5","9,1",,"2,16"
T22071461,"634,5","634,5","9,1",,"2,16"
T22072151,354,347,,,
T22072151,354,347,,,
T22090951,"1175,6",1120,"6,1","6,50","2,69"
T22091031,"980,2","980,2","6,2","6,50","2,67"
T22091251,"1481,4","1481,4","6,5",,"2,11"
T22091331,145,136,,,
T22091351,153,139,,"6,50",
T22091541,"845,4","845,4","5,7","6,36","2,43"
T22091741,407,374,,"6,50",
T22091751,908,908,"5,1","6,36","2,57"
T22091941,"368,2",332,,"6,36",
T22091951,641,580,"6,0","6,36","2,49"
T22092041,"400,8",361,"5,5","6,20","2,19"
T22092051,603,565,"6,2","6,20","2,60"
T22092061,720,720,"6,0","6,20","3,01"
T22092141,"543,2","498,2","5,9","7,77","2,17"
T22092151,778,701,"5,4","7,77","2,11"
T22092241,"693,4",652,"5,8","7,77","2,45"
T22092241,969,"676,9","5,1","6,74","2,07"
T22092261,609,573,"6,3","7,77","2,51"
T22092331,"864,8",817,"5,5","6,74","2,36"
T22092351,647,601,"4,7","6,97","1,90"
T22092361,463,425,"5,4","6,20","2,18"
T22092431,"513,2","472,2","5,4","6,20","2,28"
T22092441,963,896,"5,0","6,74","1,74"
T22092451,645,605,"5,4","6,97","2,07"
T22092461,781,729,"4,6","6,97","1,73"
T22092631,"894,6","840,6","5,6","6,93","2,70"
T22092641,"823,8","768,5","5,8","7,32","2,23"
T22092651,749,751,"6,1","6,97","2,32"
T22092661,748,672,"5,1","6,93","1,21"
T22092741,"1315,6",1206,"6,6","7,32","2,39"
T22092751,826,783,"5,3","6,18","1,87"
T22092761,712,675,"5,2","7,32","1,73"
T22092831,"767,4","731,5","6,7","6,93","2,51"
T22092841,"758,6",738,"4,9","6,18","2,46"
T22092851,760,717,"5,4","6,18","1,82"
T22092861,555,522,"4,7","6,93","2,06"
T22092931,"535,2","504,2","5,6","6,18","2,54"
T22092941,"869,8","826,8","6,4","8,11","2,21"
T22092951,728,724,"5,3","6,18","2,19"
T22092961,569,531,"5,7","8,11","1,97"
T22093031,"1096,8","1025,5","6,7","8,11","1,87"
T22093061,736,695,"5,7","8,11","2,25"
T22093061,686,648,"4,9","6,56","1,79"
T22100141,"525,4",485,"7,2","6,56","1,97"
T22100151,796,714,"4,9","6,83","1,67"
T22100161,435,435,"5,3","8,11","1,96"
T22100331,"863,4",813,"6,0","6,56","2,29"
T22100341,"592,2","556,2","5,7","6,56","2,26"
T22100351,1220,1130,"7,0","7,97","1,97"
T22100431,"878,8",828,"5,1","7,97","2,02"
T22100441,"419,4","389,7","5,9","6,83","2,49"
T22100451,783,783,"5,5","6,83","2,14"
T22100531,"536,4",499,"5,8","7,97","2,20"
T22100541,"874,8","829,5","6,6","6,83","1,48"
T22100551,308,282,,"7,75",
T22100561,922,837,"4,9","7,86","1,63"
T22100631,"852,8","789,5","5,7","7,75","1,95"
T22100641,716,660,"5,2","7,86","1,89"
T22100651,697,653,"4,4","7,75","1,39"
T22100661,691,646,"5,5","7,86","1,90"
T22100731,"528,4",499,"6,0","6,97","2,02"
T22100741,"993,2",948,"4,6","7,75","2,01"
T22100751,743,709,"4,1","7,86","1,91"
T22100761,577,537,"5,5","6,97","1,86"
T22100831,"1026,2","986,5","5,6","7,12","2,03"
T22100841,"961,6",939,"5,9","6,97","2,96"
T22100851,940,892,"4,6","7,12","1,94"
T22100861,624,579,"5,3","6,97","1,91"
T22101031,"1245,8","1192,3","6,2","7,12","1,88"
T22101041,"760,6","726,5","5,1","8,38","1,78"
T22101051,930,892,"5,2","8,38","1,74"
T22101061,891,841,"5,5","6,67","1,77"
T22101131,1006,966,"6,2","6,67","2,50"
T22101141,"1310,8","1262,5","5,5","8,91","2,04"
T22101151,987,952,"5,6","6,67","2,05"
T22101161,749,702,"5,6","8,38","1,83"
T22101231,"963,2","922,5","5,5","8,91","1,92"
T22101241,917,873,"5,3","8,91","2,28"
T22101251,964,930,"4,9","8,38","1,58"
T22101261,793,743,"5,0","7,16","2,35"
T22101331,"823,2",777,"5,0","7,16","2,22"
T22101341,"634,8","596,8","6,0","7,16","2,00"
T22101351,791,751,"5,0","7,16","1,98"
T22101361,409,384,"6,2","7,06","1,70"
T22101431,"1122,8","1080,5","5,5","7,06","2,03"
T22101441,718,681,"7,0","7,06","2,27"
T22101451,993,947,"4,7","6,39","2,12"
T22101461,699,699,"6,2","7,06","2,49"
T22101531,850,805,"5,8","6,39","2,15"
T22101541,"918,6","870,5","6,1","6,39","2,27"
T22101551,1060,1015,"4,8","7,18","2,07"
T22101561,780,740,"5,2","5,89","1,98"
T22101731,"993,8","945,5","5,9","6,35","1,79"
T22101741,842,800,"6,8","7,18","2,14"
T22101751,1035,"979,2","5,6","7,18","1,76"
T22101761,737,697,"5,8","5,89","2,15"
T22101831,"704,4","668,9","5,8","5,89","2,09"
T22101841,874,"831,3","5,3","5,89","2,10"
T22101851,858,822,"4,4","6,35","1,78"
T22101861,782,723,"4,7","5,89","1,92"
T22101931,"697,6",661,"6,7","6,35","1,83"
T22101941,"1010,8","965,5","5,9","5,87","1,95"
T22101951,793,755,"4,6","7,88","1,95"
T22101961,1047,1002,"5,2","5,87","2,03"
T22102031,911,882,"6,2","5,87","2,32"
T22102041,762,725,"6,0","6,38","2,24"
T22102051,859,836,"4,9","5,40","1,90"
T22102061,651,620,"4,9","6,35","1,61"
T22102131,"1422,4","1422,4","5,5","7,88","1,94"
T22102141,"789,8",750,"5,7","7,88","1,84"
T22102151,1458,1412,"4,8","8,28","1,91"
T22102161,735,699,"5,0","6,38","2,01"
T22102231,"572,2",545,"6,6","6,38","1,99"
T22102241,"694,6","669,5","5,6","6,38","2,11"
T22102251,1232,1190,"4,8","8,28","2,26"
T22102261,691,665,"4,9","5,72","1,93"
T22102431,"530,8",505,"7,0","5,72","2,17"
T22102441,"758,2",718,"6,3","5,72","2,15"
T22102451,747,713,"6,0","5,72","2,15"
T22102461,1059,1009,"5,4","5,40","2,03"
T22102531,444,424,"7,5","5,72","1,89"
T22102541,"883,8","838,5","5,9","5,72","2,14"
T22102551,1431,1359,"6,3","5,11","1,81"
T22102641,"1317,8","1234,5","6,0","5,11","2,36"
T22102651,705,670,"5,8","5,11","2,13"
T22102661,833,784,"5,3","5,40","2,53"
T22102731,"811,2",773,"5,9","5,56","2,04"
T22102741,"1161,6","1123,5","6,3","5,56","2,25"
T22102751,1075,1034,"5,7","5,40","2,21"
T22102761,874,840,"5,6","5,56","2,29"
T22102831,646,609,"5,9","5,56","1,66"
T22102841,"286,6",270,,"5,40",
T22102851,1018,975,"5,4","5,56","2,13"
T22102861,593,556,"6,2","5,11","2,12"
T22102931,1085,1038,"5,1","5,54","2,24"
T22102941,793,758,"6,1","5,54","1,82"
T22102951,942,"904,7","5,0","5,54","2,17"
T22102961,954,954,"6,0","6,41","2,32"
T22102961,"853,8","820,5","6,0","6,41","2,10"
T22103141,"668,8","642,5","6,5","6,62","1,99"
T22103151,817,787,"6,2","6,41","2,12"
T22103161,784,736,"5,7","6,41","1,44"
T22110331,"728,6","694,4","6,4","5,54","2,16"
T22110341,"933,8","657,5","5,7","6,62","2,13"
T22110351,1043,995,"5,7","6,62","2,13"
T22110361,705,662,"7,1","5,54","2,17"
T22110431,"636,6",598,"5,2","6,86","1,75"
T22110441,"692,2","657,5","7,4","6,06","1,92"
T22110451,1042,1005,"5,2","6,41","2,07"
T22110461,905,905,"5,9","6,06","2,05"
T22110531,"1076,2","1037,5","6,1","7,14","2,26"
T22110541,"1068,4",1033,"6,7","6,06","1,81"
T22110551,1120,1082,"5,1","6,86","1,98"
T22110561,911,875,"5,7","6,06","2,20"
T22110731,"988,2","938,3","5,2","7,14","2,09"
T22110741,"1098,8",1052,"5,6","6,86","2,34"
T22110751,892,856,"6,5","6,06","2,38"
T22110761,735,"692,7","6,7","7,14","2,01"
T22110831,"1078,6",1040,"6,4","4,35","2,38"
T22110841,"926,2","893,4","5,5","8,10","2,34"
T22110851,1106,1059,"4,5","4,35","1,89"
T22110861,469,428,"5,7","4,35","1,89"
T22110931,"765,8","734,8","7,1","8,10","2,58"
T22110941,"928,8","889,7","6,2","6,12","2,05"
T22110951,1076,1045,"4,7","8,10","1,97"
T22110961,704,657,"5,2","6,12","1,57"
T22111031,"471,6","439,7","7,1","6,12","1,86"
T22111041,"680,2",635,"4,9","5,40","1,73"
T22111051,1184,1184,"5,5","5,60","2,14"
T22111061,1017,"960,8","6,1","5,60","2,10"
T22111231,1235,"1197,5","6,1","6,12","2,50"
T22111241,968,"930,7","6,2","5,40","2,68"
T22111251,537,"501,5","5,4","5,60","1,95"
T22111261,1043,"998,5","5,8","6,12","2,16"
T22111431,"1072,4","1037,3","6,6","3,63","2,36"
T22111441,"1096,2","1066,5","6,0","5,40","2,05"
T22111451,714,680,"5,0","3,63","1,59"
T22111461,1170,1121,"5,5","6,62","2,38"
T22111531,"1108,6","1059,6","6,3","6,62","2,11"
T22111531,671,600,"5,2","6,62","2,38"
T22111541,"519,2",481,"6,3","6,62","2,20"
T22111551,591,554,"5,3","6,62","1,46"
T22111561,1034,993,"4,9","3,63","2,37"
T22111631,"969,8","927,1","6,3","7,96","2,38"
T22111651,615,579,"5,3","7,96","1,52"
T22111661,987,956,"5,9","7,96","2,09"
T22111731,"830,2",796,"5,7","9,19","2,29"
T22111741,1264,1203,"4,3","9,19","1,45"
T22111761,1963,"1881,6","5,5","6,47","2,03"
T22111831,"863,1","827,1","5,6","7,01","1,89"
T22111841,"1198,2","1163,9","5,0","6,47","2,43"
T22111851,1534,"1534,4","5,2","9,19","2,38"
T22111931,"1239,8",1189,"5,5","7,35","1,74"
T22111941,"750,2","712,4","6,6","7,01","1,61"
T22111951,1178,"1139,1","5,2","7,01","2,35"
T22111961,388,"369,1","8,4","7,01","2,05"
T22112131,"758,8",721,"6,6","5,52","2,12"
T22112141,"1208,4","1166,6","5,8","5,52","2,24"
T22112151,924,"897,5","5,9","5,52","1,92"
T22112161,407,391,"6,3","7,01","2,53"
T22112231,"563,6","526,7","6,6","6,35","2,39"
T22112251,887,"854,6","6,1","6,35","2,22"
T22112261,809,775,"5,7","6,35","1,39"
T22112331,303,292,"7,4","6,35","2,16"
T22112341,"649,4",616,"6,1","5,60","2,21"
T22112351,1099,1065,"5,5","5,60","2,08"
T22112361,639,610,"5,7","6,35","2,29"
T22112431,738,708,"6,8","6,35","2,41"
T22112451,463,445,"6,1","5,60","2,15"
T22112461,403,388,"5,5","7,01","2,50"
T22112531,"906,8",867,"5,6","5,26","2,35"
T22112541,"773,4","749,6","6,2","7,39","2,16"
T22112561,1725,1647,"5,6","7,35","2,43"
T22112631,847,813,"6,4","5,26","2,27"
T22112641,706,"682,6","6,3","5,26","2,30"
T22112651,532,510,"6,4","7,39","2,20"
T22112661,417,397,"6,1","5,60","2,10"
T22112831,"655,6",609,"5,1","7,39","1,75"
T22112841,"1031,8","979,5","6,6","5,74","2,01"
T22112851,1161,"1123,7","5,5","5,74","2,14"
T22112861,740,"706,3","6,7","7,39","2,21"
T22112931,"710,4","666,5","4,9","6,84","1,69"
T22112941,957,"917,4","6,2","8,61","2,33"
T22112951,1137,1101,"5,6","7,81","2,19"
T22112961,662,"623,3","4,8","8,61","1,46"
T22113031,"383,4","364,5","7,4","7,81","2,36"
T22113041,"699,8","652,1","5,5","6,84","2,02"
T22113051,1163,"1116,2","5,3","5,93","1,88"
T22113061,699,"655,8","5,7","7,81","1,45"
T22120141,"877,2",845,"5,9","6,84","2,19"
T22120151,765,740,"5,9","8,61","2,16"
T22120161,701,650,"4,7","5,74","1,36"
T22120231,"1059,2",991,"4,2","6,98","1,27"
T22120241,"400,8",381,"6,6","8,61","2,06"
T22120251,912,876,"5,3","7,20","1,81"
T22120261,777,735,"4,6","7,50","1,62"
T22120331,"856,2","821,1","6,5","7,20","2,00"
T22120341,"594,6","568,1","6,2","7,81","2,37"
T22120351,1313,"1265,8","5,8","8,61","2,20"
T22120361,573,543,"6,1","6,84","2,45"
T22120531,988,"954,7","6,4","6,98","2,48"
T22120541,"907,8","861,9","5,8","7,20","1,99"
T22120551,942,"910,1","5,7","7,50","2,23"
T22120561,1000,"974,4","5,5","5,93","1,99"
T22120631,"796,2","767,9","5,3","7,81","2,01"
T22120641,"614,4","574,8","5,3","8,10","1,38"
T22120651,1185,"1136,4","4,8","7,50","1,90"
T22120661,1044,1044,"4,8","6,84","1,98"
T22120731,"1020,2",983,"6,2","7,20","2,22"
T22120741,"381,4",350,"6,5","7,81","2,10"
T22120741,"398,8","387,5","6,5","6,84","2,10"
T22120751,1283,"1249,3","5,1","5,93","2,19"
T22120761,821,782,"5,6","6,98","2,54"
T22120941,"1120,4","1091,7","5,6","8,10","2,64"
T22120951,953,"924,2","5,8","8,10","1,89"
T22120961,984,"953,9","6,0","7,50","2,26"
T22121031,"825,2","766,3","5,6","8,45","1,00"
T22121041,685,653,"7,2","8,45","2,31"
T22121051,927,"897,3","6,0","5,52","1,90"
T22121061,950,"903,6","5,5","8,45","2,43"
T22121231,"1014,4","974,5","5,5","6,83","2,25"
T22121241,907,"846,1","5,9","5,52","1,74"
T22121251,1220,1220,"5,1","6,83","1,75"
T22121261,709,"680,2","6,5","5,52","2,34"
T22121331,"852,6","819,8","5,8","6,98","2,09"
T22121341,"1081,8","1041,8","5,6","8,45","2,24"
T22121351,1063,1026,"5,5","5,52","2,19"
T22121361,737,710,"5,7","6,83","2,48"
T22121451,877,"845,5","5,3","6,80","1,58"
T22121551,1100,1076,"5,5","8,33","1,97"
T22121641,"659,8","620,2","7,1","8,33","2,02"
T22121651,835,"805,3","5,7","7,20","2,19"
T22121661,469,447,"6,5","7,50","2,37"
T22121741,"989,2","954,6","6,0","5,93","2,26"
T22121741,"1064,2","1013,8","5,9","8,80","2,38"
T22121751,1093,1045,"3,9","8,80","1,61"
T22121761,341,400,"5,9","8,45","2,43"
T22121761,524,"427,2","5,9","5,52","2,43"
T22121941,845,845,"6,6","6,80","1,92"
T22121951,1044,"1021,1","5,0","7,10","1,87"
T22122051,991,963,"5,7","8,33","2,07"
T22122151,1160,"1115,9","6,3","6,80","2,46"
T22122261,983,"934,9","5,1","6,21","1,58"
T22122341,"550,8","529,2","6,6","8,80","2,41"
T22122351,1157,1123,"6,1","6,21","2,46"
T22122361,828,"798,3","5,8","7,10","2,59"
T22122751,1126,"1083,3","7,2","6,53","1,77"
T22122851,1337,"1301,5","5,2","6,53","2,37"
T22122951,1323,1287,"4,9","5,96","2,33"
T22122961,395,"377,5","5,6","5,96","2,14"
T22123041,"1150,2","1087,5","4,2","5,96","1,63"
T22123041,1464,1424,"5,1","8,31","1,83"
T22123051,767,727,"6,4","5,96","2,26"
T22123061,809,771,"5,8","6,53","2,05"
T22123131,"810,2",781,"6,2","8,31","2,67"
T22123141,"762,4","739,9","6,0","6,21","2,11"
T22123151,937,"906,4","5,2","8,31","1,64"
T22123161,623,601,"5,9","7,10","2,03"
T23010231,"505,2","482,7","7,3","8,31","2,84"
T23010241,"662,4","639,4","7,0","5,96","2,52"
T23010251,797,763,"6,1","9,17","2,04"
T23010261,852,817,"5,7","9,17","2,14"
T23010331,"917,8","876,9","5,6","9,17","2,01"
T23010351,1008,980,"5,9","6,53","2,34"
T23010361,701,"673,8","6,2","5,21","2,00"
T23010431,"478,2","459,8","7,2","6,50","2,78"
T23010441,"1147,6","1098,6","5,7","9,17","2,21"
T23010451,977,955,"5,6","6,46","1,95"
T23010451,695,"664,4","7,6","6,46","2,55"
T23010461,804,"775,2","5,8","5,21","2,42"
T23010531,"541,4","518,5","6,6","7,37","2,44"
T23010541,"753,6","718,2","5,5","6,46","2,02"
T23010551,1043,1000,"5,6","5,21","2,09"
T23010731,1153,1100,"5,8","7,37","1,81"
T23010741,"825,2","793,3","5,4","6,50","2,25"
T23010751,613,"582,9","5,6","6,50","1,71"
T23010761,948,975,"5,9","7,37","2,19"
T23010931,"966,6","966,6","7,3","6,50","2,28"
T23010941,"1015,4",980,"6,6","7,37","2,32"
T23010951,1212,"1181,5","5,2","6,50","1,88"
T23010961,387,"370,8","6,9","7,37","2,23"
T23011041,1078,1032,"6,6","7,86","2,47"
T23011051,702,"668,3","6,1","7,86","1,70"
T23011061,901,867,"5,7","7,86","2,01"
T23011131,"1012,4","972,8","6,8","7,12","1,75"
T23011151,794,"763,8","6,5","7,86","2,10"
T23011161,673,"632,5","7,0","7,86","1,74"
T23011231,"548,6","528,2","7,1","7,12","2,20"
T23011241,622,589,"7,7","7,12","1,85"
T23011251,711,599,"5,7","7,12","1,74"
T23011261,682,"629,4","5,9","6,36","1,59"
T23011331,"1069,4","1034,8","5,5","6,36","2,48"
T23011341,863,835,"6,2","7,12","2,17"
T23011351,1041,"1004,9","5,0","6,63","1,83"
T23011361,750,"719,4","5,7","6,36","1,91"
T23011431,"1155,8","1107,7","6,2","6,36","1,92"
T23011451,606,"586,2","5,8","5,48","1,75"
T23011461,770,738,"5,4","7,27","1,89"
T23011631,685,685,"7,3","6,36","2,09"
T23011641,"1383,4","1336,2","6,0",,"1,72"
T23011651,1092,1043,"5,5","6,26","1,64"
T23011661,1011,1011,"5,6","5,48","2,31"
T23011731,"686,8","659,8","7,0","6,63","2,35"
T23011741,"1020,8",988,"5,6","6,26","2,45"
T23011751,1183,1151,"4,8","6,26","1,80"
T23011761,888,855,"5,6","5,48","2,04"
T23011831,"1096,6",1057,"6,2","7,67","1,95"
T23011841,"556,4","534,4","6,1","7,27","2,29"
T23011851,990,"956,3","5,1","7,67","2,02"
T23011861,1070,"1036,7","5,3","6,26","2,32"
T23011931,"985,4","943,5","5,7","9,10","1,75"
T23011941,"835,8","798,5","6,4","7,67","1,66"
T23011951,1041,"1003,2","5,3","6,63","1,78"
T23011961,861,861,"6,4","7,67","2,75"
T23012031,"1282,4",1237,"5,3","7,27","2,18"
T23012041,"694,6","672,1","5,5","6,45","1,91"
T23012051,888,"856,5","5,8","9,10","2,13"
T23012061,610,"580,3","6,5","9,10","2,47"
T23012131,"956,4",920,"6,1","6,37","2,42"
T23012141,"652,2","631,1","6,2","6,45","2,20"
T23012161,1831,1779,"6,1","6,37","2,04"
T23012331,"1426,4","1426,4","6,9","6,45","1,91"
T23012351,1043,"1003,9","6,9","6,82","2,27"
T23012361,977,"938,8","6,2","6,82","1,77"
T23012431,"681,4","655,8","7,0","6,69","1,95"
T23012441,"937,7",900,"7,3","7,76","2,61"
T23012451,1115,1063,"4,7","7,76","1,33"
T23012461,1033,1000,"6,2","5,80","1,84"
T23013041,1312,"1263,3","6,2","5,80","1,99"
T23013051,1527,1483,"5,0","6,69","1,98"
T23013061,930,"882,3","5,9","6,28","1,68"
T23013131,"1023,8","986,5","5,8","7,76","2,72"
T23013141,"920,8","882,6","6,7","5,80","2,47"
T23013151,1179,1140,"5,1","6,28","1,83"
T23013161,932,"896,9","6,1","6,28","2,55"
T23020131,"1219,2",1164,"7,0","7,57","1,75"
T23020151,1128,"1089,3","5,9","6,28","2,10"
T23020161,871,"836,4","6,5","7,57","2,57"
