Kilo,Data
1244,6.04.2020
"905,5",6.04.2020
"1367,5",7.04.2020
"1419,5",8.04.2020
887,9.04.2020
"531,5",9.04.2020
648,14.04.2020
738,15.04.2020
1418,15.04.2020
1044,16.04.2020
"1020,5",17.04.2020
"896,5",17.04.2020
"803,5",18.04.2020
1132,18.04.2020
"1169,5",18.04.2020
"2069,5",20.04.2020
"1066,5",20.04.2020
"2174,5",21.04.2020
"660,5",21.04.2020
"706,5",22.04.2020
980,22.04.2020
899,22.04.2020
"206,6",22.04.2020
"962,5",23.04.2020
"2506,5",24.04.2020
2926,24.04.2020
"2574,5",25.04.2020
547,25.04.2020
"1231,5",25.04.2020
"1348,5",27.04.2020
702,28.04.2020
1075,28.04.2020
1015,28.04.2020
"1777,5",29.04.2020
"962,5",29.04.2020
1040,29.04.2020
"786,5",30.04.2020
"1499,5",30.04.2020
"403,5",30.04.2020
1098,30.04.2020
"3065,5",1.05.2020
"687,5",1.05.2020
"813,5",1.05.2020
815,2.05.2020
"1049,5",2.05.2020
"1029,5",4.05.2020
930,4.05.2020
"694,5",4.05.2020
473,5.05.2020
"483,5",5.05.2020
1297,6.05.2020
"1056,5",6.05.2020
"992,5",7.05.2020
464,7.05.2020
"918,5",7.05.2020
614,8.05.2020
"1039,5",8.05.2020
902,8.05.2020
975,9.05.2020
"1384,5",9.05.2020
908,11.05.2020
559,11.05.2020
"522,5",12.05.2020
1065,12.05.2020
"729,5",13.05.2020
"959,5",13.05.2020
"539,5",15.05.2020
"442,5",15.05.2020
"2176,5",16.05.2020
323,16.05.2020
612,18.05.2020
"872,5",19.05.2020
"743,5",19.05.2020
"613,5",19.05.2020
1942,21.05.2020
"1401,5",22.05.2020
431,22.05.2020
"3637,5",22.05.2020
"1204,5",22.05.2020
"805,5",23.05.2020
"798,5",23.05.2020
"938,5",25.05.2020
798,25.05.2020
"584,5",25.05.2020
"2090,5",25.05.2020
"1884,5",26.05.2020
"1298,5",26.05.2020
1018,27.05.2020
393,27.05.2020
1275,27.05.2020
"1166,5",28.05.2020
"624,5",29.05.2020
"563,5",29.05.2020
1010,30.05.2020
1078,30.05.2020
"1977,5",2.06.2020
471,3.06.2020
1132,3.06.2020
652,4.06.2020
714,4.06.2020
1567,5.06.2020
"756,5",5.06.2020
"631,5",6.06.2020
777,6.06.2020
993,8.06.2020
422,9.06.2020
"685,5",10.06.2020
378,10.06.2020
"1290,5",12.06.2020
962,13.06.2020
"1186,5",13.06.2020
1786,13.06.2020
"1950,5",15.06.2020
"544,5",16.06.2020
"930,5",16.06.2020
603,17.06.2020
"1038,5",18.06.2020
"522,5",19.06.2020
"2490,5",19.06.2020
939,23.06.2020
1029,24.06.2020
365,27.06.2020
"499,5",27.06.2020
1272,9.07.2020
"2320,4",10.07.2020
742,10.07.2020
278,3.09.2020
5665,11.09.2020
"835,5",18.09.2020
970,22.09.2020
"764,5",23.09.2020
"990,5",26.09.2020
"1535,5",26.09.2020
623,28.09.2020
2724,28.09.2020
627,30.09.2020
1305,30.09.2020
"1319,5",1.10.2020
1862,1.10.2020
"1954,5",2.10.2020
"640,5",2.10.2020
"1026,5",2.10.2020
412,2.10.2020
1095,3.10.2020
1560,3.10.2020
"816,5",3.10.2020
"3019,5",3.10.2020
"312,5",5.10.2020
"1418,5",5.10.2020
2924,6.10.2020
"1894,5",6.10.2020
1116,6.10.2020
"694,5",7.10.2020
499,7.10.2020
"440,5",7.10.2020
4055,7.10.2020
880,8.10.2020
1204,8.10.2020
1048,8.10.2020
447,9.10.2020
955,9.10.2020
"715,5",9.10.2020
"1050,5",9.10.2020
586,9.10.2020
1690,10.10.2020
"551,5",10.10.2020
"596,5",12.10.2020
1129,12.10.2020
2400,12.10.2020
"605,5",12.10.2020
1649,13.10.2020
"715,5",14.10.2020
628,15.10.2020
"516,5",15.10.2020
584,16.10.2020
613,17.10.2020
1639,20.10.2020
"691,5",20.10.2020
"198,8",23.10.2020
511,23.10.2020
383,23.10.2020
561,24.10.2020
2321,24.10.2020
"343,5",26.10.2020
440,26.10.2020
251,27.10.2020
651,28.10.2020
"1014,5",28.10.2020
294,29.10.2020
1674,29.10.2020
823,30.10.2020
"1937,5",30.10.2020
2877,31.10.2020
2260,31.10.2020
"733,5",31.10.2020
521,3.11.2020
"848,5",3.11.2020
"1480,5",3.11.2020
738,3.11.2020
714,4.11.2020
505,4.11.2020
547,4.11.2020
1521,4.11.2020
"711,5",4.11.2020
"1545,5",5.11.2020
1630,5.11.2020
1279,5.11.2020
"1428,5",6.11.2020
505,6.11.2020
"584,5",7.11.2020
"658,3",7.11.2020
"477,5",7.11.2020
635,7.11.2020
"1930,5",9.11.2020
"1549,5",9.11.2020
1330,9.11.2020
"1274,5",9.11.2020
"1995,5",9.11.2020
531,12.11.2020
"422,5",14.11.2020
1482,14.11.2020
"957,5",14.11.2020
561,14.11.2020
813,16.11.2020
"848,5",17.11.2020
1394,17.11.2020
"1510,5",17.11.2020
696,18.11.2020
1914,19.11.2020
"384,5",19.11.2020
"763,5",20.11.2020
2389,20.11.2020
"1567,5",20.11.2020
"850,5",21.11.2020
2183,23.11.2020
760,23.11.2020
3368,26.11.2020
"468,5",26.11.2020
705,26.11.2020
"385,5",27.11.2020
537,27.11.2020
798,27.11.2020
"3009,5",27.11.2020
"1983,5",28.11.2020
1213,28.11.2020
"3462,5",28.11.2020
"1738,5",30.11.2020
2923,30.11.2020
"1351,5",30.11.2020
"760,5",30.11.2020
"1423,5",1.12.2020
1448,1.12.2020
758,1.12.2020
"1057,5",1.12.2020
4748,2.12.2020
1056,3.12.2020
891,4.12.2020
"661,5",4.12.2020
815,7.12.2020
"648,5",7.12.2020
2003,9.12.2020
368,9.12.2020
"1961,5",9.12.2020
889,10.12.2020
1430,10.12.2020
"1643,5",10.12.2020
2183,11.12.2020
"630,5",11.12.2020
878,11.12.2020
668,12.12.2020
1424,12.12.2020
1007,14.12.2020
"1880,5",14.12.2020
1634,14.12.2020
"392,8",15.12.2020
"1776,5",15.12.2020
"1119,5",15.12.2020
"4421,5",16.12.2020
"629,5",17.12.2020
874,17.12.2020
"632,5",18.12.2020
"656,5",18.12.2020
617,19.12.2020
"3362,5",19.12.2020
1272,19.12.2020
315,21.12.2020
"1730,5",21.12.2020
490,21.12.2020
"709,5",21.12.2020
1552,22.12.2020
650,22.12.2020
1914,22.12.2020
"1975,5",22.12.2020
"660,5",28.12.2020
"928,5",29.12.2020
752,29.12.2020
684,29.12.2020
"869,5",29.12.2020
"1160,5",29.12.2020
693,30.12.2020
1150,31.12.2020
"760,5",31.12.2020
874,31.12.2020
"1962,5",31.12.2020
765,2.01.2021
"346,5",2.01.2021
1216,2.01.2021
703,4.01.2021
585,4.01.2021
"896,5",4.01.2021
511,5.01.2021
1041,5.01.2021
1825,5.01.2021
615,7.01.2021
101,7.01.2021
"744,5",7.01.2021
768,7.01.2021
663,8.01.2021
"638,5",8.01.2021
779,8.01.2021
"505,5",9.01.2021
1075,9.01.2021
458,9.01.2021
608,11.01.2021
954,11.01.2021
1005,11.01.2021
"921,5",11.01.2021
"699,5",12.01.2021
"949,5",12.01.2021
878,12.01.2021
"1267,5",13.01.2021
716,13.01.2021
"858,5",13.01.2021
"892,5",14.01.2021
675,14.01.2021
